Name,SKU,Original Price,Discount Price,Description,Image URL,Sizes,Colors,URL
Defy T-Shirt W Q11,Defy T-Shirt W Q11,"3,990.00ден",,"Мултифункционална стреч маица, брзосушечка и изработена од полиестер",https://www.scout.mk/wp-content/uploads/2022/04/Q11624624-600x600.jpg,"['l', 'm']","['blue', 'blue']",https://www.scout.mk/product/defy-t-shirt-w-q11/
ENDRA,Endra W RWA637,"3,990.00ден","3,990.00ден",Флис,https://www.scout.mk/wp-content/uploads/2024/12/RWA637-800.jpg,"['12', '12', '14']","['black', 'black', 'white']",https://www.scout.mk/product/endra-w-rwa637/
Essential T W 1808352,Essential T W 1808352,"2,490.00ден","2,490.00ден",Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2023/07/1808352_2183_A020-600x600.png,['xs'],['pink'],https://www.scout.mk/product/essential-t-w-1808352/
Expedition X-Lätt Vest F86366,Expedition X-Lätt Vest F86366,"11,290.00ден",,Лесен елек што може да се пакува со синтетичко полнење за пешачење и живот на отворено.,https://www.scout.mk/wp-content/uploads/2024/03/Expedition_X-Latt_Vest_W_86366-614_A_MAIN_FJR-6-600x600.png,['l'],['green'],https://www.scout.mk/product/expedition-x-latt-vest-f86366/
FILANDRA IX,FilandraIX W RWT327,"1,590.00ден",,Кратка Маица,https://www.scout.mk/wp-content/uploads/2024/12/RWT327-540.jpg,"['10', '10', '12', '12', '14', '16']","['green', 'green', 'green', 'green', 'stilston', 'stilston']",https://www.scout.mk/product/filandraix-w-rwt327/
FILANDRA VIII W,FILANDRA VIII W RWT297,"1,890.00ден",,Маица изработена од памук,https://www.scout.mk/wp-content/uploads/2024/08/RWT297-7LE-48-600x600.jpg,"['10', '10', '10', '10', '12', '12', '12', '14', '14', '14', '14', '16', '16', '16', '18', '8', '8', '8', '8']","['black', 'black', 'black', 'black', 'black', 'black', 'navy', 'navy', 'navy', 'navy', 'navy', 'violet', 'violet', 'violet', 'violet', 'violet', 'white', 'white', 'white']",https://www.scout.mk/product/filandra-viii-w-rwt297/
Fitz Roy Jkt W MIV8629,Fitz Roy Jkt W MIV8629,"10,290.00ден","10,290.00ден","Хардшел Jакна со DRYEDGE™ MICRO RIPSTOP 2.5L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 10.000 mm
Дишливост: 10 000 g.m².24h",https://www.scout.mk/wp-content/uploads/2021/05/MIV8629-9162-600x600.jpg,"['l', 'm']","['turquoise', 'turquoise']",https://www.scout.mk/product/fitz-roy-jkt-w-miv8629/
Fitz Roy Jkt W MIV9707,Fitz Roy Jkt W MIV9707,"11,590.00ден","11,590.00ден","Хардшел Jакна со DRYEDGE™ MICRO RIPSTOP 2.5L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 10.000 mm
Дишливост: 10 000 g.m².24h",https://www.scout.mk/wp-content/uploads/2023/03/MIV9707_9447_C3E_0.webp-600x600.png,"['l', 'l', 'm', 's', 's', 's']","['berry', 'berry', 'blue', 'blue', 'blue', 'turquoise']",https://www.scout.mk/product/fitz-roy-jkt-w-miv9707/
Fitz Roy Stretch Jkt W MIV8722,Fitz Roy Stretch Jkt W MIV8722,,,"Хардшел Jакна со DRYEDGE™ MICRO RIPSTOP 2.5L
Водоотпорна и ветероотпорна со вентилациски отвори под пазувите
Водоотпорност: 10.000 mm
Дишливост: 10 000 g.m².24h",https://www.scout.mk/wp-content/uploads/2022/04/miv8722-9162-Copy-600x600.jpg,[],[],https://www.scout.mk/product/fitz-roy-stretch-jkt-w-miv8722/
Fjällräven Logo Tee F87146,Fjällräven Logo Tee F87146,"3,090.00ден",,Удобна маица изработена од мешавина на органски памук/рециклиран полиестер и лого на предната страна.,https://www.scout.mk/wp-content/uploads/2024/03/Fjallraven_Logo_Tee_W_87146-133_A_MAIN_FJR-6-600x600.png,"['m', 's']","['yellow', 'yellow']",https://www.scout.mk/product/fjallraven-logo-tee-f87146/
