ИМЕ НА МАРКЕТ,НАЗИВ НА ПРОИЗВОД,ПРОДАЖНА ЦЕНА,ЕДИНЕЧНА ЦЕНА,ОПИС НА ПРОИЗВОД,ДОСТАПНОСТ НА ПРОИЗВОД,РЕДОВНА ЦЕНА,ЦЕНА СО ПОПУСТ,ПОЕНИ,ТИП НА АКЦИЈА,ВРЕМЕТРАЊЕ НА АКЦИЈА
vardar,48 МЕДИЦИНСКА КРЕМА ЗА РАЦЕ 50МЛ,109.00,100 МЛ: =218ДЕН,КРЕМА ЗА РАЦЕ/ТЕЛО,ДА,,,,,
vardar,48 МЕДИЦИНСКА КРЕМА РАЦЕ 125МЛ.,159.00,100 МЛ: =127.2ДЕН,КРЕМА ЗА РАЦЕ/ТЕЛО,ДА,,,,,
vardar,5+1 ПОДРАВКА ПИЛЕШКА СУПА СО ТЕСТЕНИНИ 62ГР,159.00,1 ПАРЧЕ =26.5ДЕН,СУПА,ДА,,,,,
vardar,50 ЧАШИ ЦЦ 200,139.00,"1 ПАРЧЕ = 2,78ДЕН",ПЛАСТИЧНИ ЧАШИ,ДА,,,,,
vardar,5080733 СИБЕЛ КАПА ЗА ТУШИРАЊЕ,93.00,1 ПАРЧЕ =93ДЕН,КАПА ЗА БАЊАЊЕ,ДА,,,,,
vardar,540100 ЏОТО ЛЕПАК СТИК 10ГР.,69.00,100 ГР: =690ДЕН,ЛЕПАК,ДА,,,,,
vardar,60458 ЛЕГО ПОЖАРНИКАРСКИ,699.00,1 ПАРЧЕ =699ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,879.00,"699.00
-20.48%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,60459 ЛЕГО ПАКЕТ АВТОМОБИЛ БРЗА ПОМОШ,699.00,1 ПАРЧЕ =699ДЕН,ИГРИ ЗА ГРАДЕЊЕ,ДА,879.00,"699.00
-20.48%",,АКЦИСКА ПРОДАЖБА,15.04.2025 - 05.05.2025
vardar,66166 ПАРМЕЗАН ТОП.СИРЕЊЕ 140Г ПЕРМАРЕГИНИ ФОРМ.,165.00,100 ГР: =117.86ДЕН,ПАРМЕЗАН,ДА,,,,,
vardar,664 ПУКАНКИ ДАУТИ 200ГР,24.00,100 ГР: =12ДЕН,ПУКАНКИ,ДА,,,,,
vardar,7 АП-ПЕТ 1.5,52.00,100 МЛ: =3.47ДЕН,ГАЗИРАН СОК,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН MAX КРЕМ БРУЛЕ 80 ГР,35.00,100 ГР: =43.75ДЕН,КРОАСАН,ДА,42.00,"35.00
-16.67%",5,ЛОЈАЛНОСТ,24.04.2025 - 14.05.2025
vardar,7 ДЕЈС КРОАСАН ДВОЈНО ВАНИЛА И ВИШНА 80 ГР,42.00,100 ГР: =52.5ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН ДВОЈНО КАКАО И ВАНИЛА 80 ГР,42.00,100 ГР: =52.5ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН КАКАО ГИГА 150 ГР,65.00,100 ГР: =43.33ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН ЛЕШНИК 80 ГР,35.00,100 ГР: =43.75ДЕН,КРОАСАН,ДА,42.00,"35.00
-16.67%",5,ЛОЈАЛНОСТ,24.04.2025 - 14.05.2025
vardar,7 ДЕЈС КРОАСАН МАКС КАКАО 80Г,35.00,100 ГР: =43.75ДЕН,КРОАСАН,ДА,42.00,"35.00
-16.67%",5,ЛОЈАЛНОСТ,24.04.2025 - 14.05.2025
vardar,7 ДЕЈС КРОАСАН МИДИ КАКАО 40Г,20.00,100 ГР: =50ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН МИНИ ДВОЈНО КАКАО И ВАНИЛА 185 ГР,115.00,100 ГР: =62.16ДЕН,КРОАСАН,ДА,,,,,
vardar,"7 ДЕЈС КРОАСАН МИНИ ДВОЈНО КАКАО,ВАНИЛА 60ГР",42.00,100 ГР: =70ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН МИНИ КАКАО 185Г,115.00,100 ГР: =62.16ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН МИНИ КРОАСАН КАКАО 60 ГР,42.00,100 ГР: =70ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН МИНИ МИЛ ФЕЈ ВАНИЛА 185ГР,115.00,100 ГР: =62.16ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН СУПЕР МАКС КАКАО 110Г,41.00,100 ГР: =37.27ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН СУПЕР МАКС КАКАО ВАНИЛА 110Г,49.00,100 ГР: =44.55ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН ШАМПАЊ 60 ГР,32.00,100 ГР: =53.33ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС КРОАСАН ЈАГОДА 60 ГР,32.00,100 ГР: =53.33ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС МИДИ КАКАО 60 ГР,32.00,100 ГР: =53.33ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС МИДИ ЦРЕША 60 ГР,32.00,100 ГР: =53.33ДЕН,КРОАСАН,ДА,,,,,
vardar,7 ДЕЈС МУЛТИПАК КРОАСАН 4X60ГР,85.00,1 ПАРЧЕ =85ДЕН,КРОАСАН,ДА,,,,,
vardar,700340 ВЕЛ.УКРАС СЛАМА 3978-1 50ГР. 3/1,59.00,1 ПАРЧЕ =59ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700405 ДРВЕНА КОРПА 28*28,339.00,1 ПАРЧЕ =339ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700482 ВЕШ.ТРЕВА 2001-Ѕ,169.00,1 ПАРЧЕ =169ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700483 ВЕШ.ТРЕВА 2001-Р,169.00,1 ПАРЧЕ =169ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700484 ВЕШ.ТРЕВА 3001,145.00,1 ПАРЧЕ =145ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700551 ВЕЛ.УКРАС 1212-15,259.00,1 ПАРЧЕ =259ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700557 ВЕЛИГДЕНСКИ ДРВЕН УКРАС ЊЅ-1301,169.00,1 ПАРЧЕ =169ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700585 ВЕЛ. УКРАС ТД9101,449.00,1 ПАРЧЕ =449ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700596 ВЕЛИГДЕНСКА ПАТОСНИЦА 40*60 ЈТ1219,199.00,1 ПАРЧЕ =199ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700655 ВЕЛ.УКРАС АД-МЗ05,269.00,1 ПАРЧЕ =269ДЕН,ВЕЛИГДЕНСКИ УКРАС,ДА,,,,,
vardar,700662 ВЕЛ.НАВЛАКА ЗА ПЕРНИЦА 45Х45 РБ-01,165.00,1 ПАРЧЕ =165ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
vardar,700700 ВЕЛИГ. СЕТ 12 ЈАЈЦА ХС81434,75.00,1 ПАРЧЕ =75ДЕН,ВЕЛИГДЕНСКИ УКРАСИ,ДА,,,,,
