url,photo_url,brand,title,original_price,current_price,discount
https://mobelix.com.mk/mk/proizvodi/redmi-note-11-6gb-ram128gb,https://mobelix.com.mk/storage/app/uploads/public/636/a33/474/thumb_4203_550_800_0_0_crop.png,Xiaomi,Redmi Note 11 6GB RAM/128GB,,"13,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/redmi-note-11-pro-5g-8gb-ram128gb,https://mobelix.com.mk/storage/app/uploads/public/62f/37b/251/thumb_3912_550_800_0_0_crop.png,Xiaomi,Redmi Note 11 PRO+ 5G 8GB RAM/128GB,"18,500.00","14,800.00 ден",-20%
https://mobelix.com.mk/mk/proizvodi/google-pixel-7-8gb-ram128gb,https://mobelix.com.mk/storage/app/uploads/public/635/3f3/589/thumb_4195_550_800_0_0_crop.png,Google,Pixel 7 8GB RAM/128GB,"33,800.00","29,500.00 ден",-13%
https://mobelix.com.mk/mk/proizvodi/samsung-buds-pro,https://mobelix.com.mk/storage/app/uploads/public/675/04a/bf9/thumb_5866_550_800_0_0_crop.png,Samsung,Buds Pro,"7,400.00","6,100.00 ден",-18%
https://mobelix.com.mk/mk/proizvodi/nothing-phone-1-8gb-ram256gb,https://mobelix.com.mk/storage/app/uploads/public/630/602/428/thumb_3928_550_800_0_0_crop.png,Nothing,Phone 1 8GB RAM/256GB,"30,800.00","24,600.00 ден",-20%
https://mobelix.com.mk/mk/proizvodi/apple-ipad-air-5-64gb-wifi,https://mobelix.com.mk/storage/app/uploads/public/635/3f5/6d3/thumb_4199_550_800_0_0_crop.png,Apple,iPad Air 5 64GB Wifi,"41,800.00","36,900.00 ден",-12%
https://mobelix.com.mk/mk/proizvodi/samsung-galaxy-f22-4gb-ram64gb,https://mobelix.com.mk/storage/app/uploads/public/630/5f9/688/thumb_3919_550_800_0_0_crop.png,Samsung,Galaxy F22 4GB RAM/64GB,"9,200.00","8,000.00 ден",-13%
https://mobelix.com.mk/mk/proizvodi/xiaomi-mi-watch,https://mobelix.com.mk/storage/app/uploads/public/626/bba/dd4/thumb_3825_550_800_0_0_crop.png,Xiaomi,Xiaomi Mi Watch,,"8,000.00 ден",
https://mobelix.com.mk/mk/proizvodi/poco-c40-4gb-ram64gb,https://mobelix.com.mk/storage/app/uploads/public/636/a89/52c/thumb_4209_550_800_0_0_crop.png,Xiaomi,Poco C40 4GB RAM/64GB,,"10,500.00 ден",
https://mobelix.com.mk/mk/proizvodi/google-pixel-6a-6gb-ram128gb,https://mobelix.com.mk/storage/app/uploads/public/636/b91/730/thumb_4213_550_800_0_0_crop.png,Google,Google Pixel 6A 6GB RAM/128GB,"20,300.00","18,500.00 ден",-9%
